"resource_type","display_name","region","lifecycle_state","compartment_id","ocid","time_created","freeform_tags","defined_tags","parent_compartment_id","is_accessible","description"
"Compartment","o-p-om2-cmp-cdin-security-001",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaavug4kpn4sdoskxdzgkfi2uvke26grr6gbxtvg2f3x6ve3ngs5jfq","ocid1.compartment.oc19..aaaaaaaakq3vum5nnnrkpl5ro7qt7qorb3a7p2nrwwdpzn7wzkbh3vwqa2dq","2026-03-10T14:42:21.284000+00:00","{""ocilz-terraform-module"":""iam-compartments/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:42:21.282Z""},""o-p-om2-tagns-ens-001"":{""ens-authenticity"":""__FILL__"",""ens-availability"":""__FILL__"",""ens-confidentiality"":""__FILL__"",""ens-integrity"":""__FILL__"",""ens-traceability"":""__FILL__""},""o-p-om2-tagns-gov-001"":{""application-code"":""__FILL__"",""application-name"":""__FILL__"",""business-criticality"":""__FILL__"",""cost-center"":""__FILL__"",""department"":""__FILL__"",""environment"":""pro"",""iac"":""terraform"",""name"":""o-p-om2-cmp-cdin-security-001"",""operational-owner"":""__FILL__"",""technical-owner"":""__FILL__""},""o-p-om2-tagns-name-001"":{""o-p-om2-tag-role-001"":""o-p-om2-tag-role-security-001""}}","ocid1.compartment.oc19..aaaaaaaavug4kpn4sdoskxdzgkfi2uvke26grr6gbxtvg2f3x6ve3ngs5jfq","True","Production Workload Environment, Common Security Compartment"
"Compartment","o-d-om2-cmp-cdin-platform-001",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaas5tb4msd3rlj6luy7smtqmnybp3cm4sprqoya3v4fbqvycpe6ewq","ocid1.compartment.oc19..aaaaaaaa7ct5zrs6wj5uyr4ooofev5pnrzktmz3ut35kxajmr72olgw3eo5a","2026-03-10T14:42:21.186000+00:00","{""ocilz-terraform-module"":""iam-compartments/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:42:21.185Z""},""o-p-om2-tagns-ens-001"":{""ens-authenticity"":""__FILL__"",""ens-availability"":""__FILL__"",""ens-confidentiality"":""__FILL__"",""ens-integrity"":""__FILL__"",""ens-traceability"":""__FILL__""},""o-p-om2-tagns-gov-001"":{""application-code"":""__FILL__"",""application-name"":""__FILL__"",""business-criticality"":""__FILL__"",""cost-center"":""__FILL__"",""department"":""__FILL__"",""environment"":""dev"",""iac"":""terraform"",""name"":""o-d-om2-cmp-cdin-platform-001"",""operational-owner"":""__FILL__"",""technical-owner"":""__FILL__""}}","ocid1.compartment.oc19..aaaaaaaas5tb4msd3rlj6luy7smtqmnybp3cm4sprqoya3v4fbqvycpe6ewq","True","Non Production Workload Environment, Common Platform Compartment"
"Compartment","o-p-om2-cmp-cdin-platform-001",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaavug4kpn4sdoskxdzgkfi2uvke26grr6gbxtvg2f3x6ve3ngs5jfq","ocid1.compartment.oc19..aaaaaaaatphkv6k4akaip3w5gvdauibjy5ag3p2hyhssgmfu5xgmivtykgha","2026-03-10T14:42:20.674000+00:00","{""ocilz-terraform-module"":""iam-compartments/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:42:20.095Z""},""o-p-om2-tagns-ens-001"":{""ens-authenticity"":""__FILL__"",""ens-availability"":""__FILL__"",""ens-confidentiality"":""__FILL__"",""ens-integrity"":""__FILL__"",""ens-traceability"":""__FILL__""},""o-p-om2-tagns-gov-001"":{""application-code"":""__FILL__"",""application-name"":""__FILL__"",""business-criticality"":""__FILL__"",""cost-center"":""__FILL__"",""department"":""__FILL__"",""environment"":""pro"",""iac"":""terraform"",""name"":""o-p-om2-cmp-cdin-platform-001"",""operational-owner"":""__FILL__"",""technical-owner"":""__FILL__""}}","ocid1.compartment.oc19..aaaaaaaavug4kpn4sdoskxdzgkfi2uvke26grr6gbxtvg2f3x6ve3ngs5jfq","True","Production Workload Environment, Common Platform Compartment"
"Compartment","o-d-om2-cmp-cdin-network-001",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaas5tb4msd3rlj6luy7smtqmnybp3cm4sprqoya3v4fbqvycpe6ewq","ocid1.compartment.oc19..aaaaaaaauvyilp65vl56pmzfvqqcv2dehlsykptzfbvliyrqwsqxmvsy3xcq","2026-03-10T14:42:20.469000+00:00","{""ocilz-terraform-module"":""iam-compartments/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:42:20.157Z""},""o-p-om2-tagns-ens-001"":{""ens-authenticity"":""__FILL__"",""ens-availability"":""__FILL__"",""ens-confidentiality"":""__FILL__"",""ens-integrity"":""__FILL__"",""ens-traceability"":""__FILL__""},""o-p-om2-tagns-gov-001"":{""application-code"":""__FILL__"",""application-name"":""__FILL__"",""business-criticality"":""__FILL__"",""cost-center"":""__FILL__"",""department"":""__FILL__"",""environment"":""dev"",""iac"":""terraform"",""name"":""o-d-om2-cmp-cdin-network-001"",""operational-owner"":""__FILL__"",""technical-owner"":""__FILL__""},""o-p-om2-tagns-name-001"":{""o-p-om2-tag-role-001"":""o-p-om2-tag-role-network-001""}}","ocid1.compartment.oc19..aaaaaaaas5tb4msd3rlj6luy7smtqmnybp3cm4sprqoya3v4fbqvycpe6ewq","True","Non Production Workload Environment, Common Network Compartment"
"Compartment","o-p-om2-cmp-cdin-network-001",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaavug4kpn4sdoskxdzgkfi2uvke26grr6gbxtvg2f3x6ve3ngs5jfq","ocid1.compartment.oc19..aaaaaaaandgh7xjaze7etcofiogdw3vmeyeh73w6aj4aowtxynrr7hlla77a","2026-03-10T14:42:20.372000+00:00","{""ocilz-terraform-module"":""iam-compartments/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:42:20.102Z""},""o-p-om2-tagns-ens-001"":{""ens-authenticity"":""__FILL__"",""ens-availability"":""__FILL__"",""ens-confidentiality"":""__FILL__"",""ens-integrity"":""__FILL__"",""ens-traceability"":""__FILL__""},""o-p-om2-tagns-gov-001"":{""application-code"":""__FILL__"",""application-name"":""__FILL__"",""business-criticality"":""__FILL__"",""cost-center"":""__FILL__"",""department"":""__FILL__"",""environment"":""pro"",""iac"":""terraform"",""name"":""o-p-om2-cmp-cdin-network-001"",""operational-owner"":""__FILL__"",""technical-owner"":""__FILL__""},""o-p-om2-tagns-name-001"":{""o-p-om2-tag-role-001"":""o-p-om2-tag-role-network-001""}}","ocid1.compartment.oc19..aaaaaaaavug4kpn4sdoskxdzgkfi2uvke26grr6gbxtvg2f3x6ve3ngs5jfq","True","Prod Workload Environment, Common Network Compartment"
"Compartment","o-p-om2-cmp-cdin-projects-001",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaavug4kpn4sdoskxdzgkfi2uvke26grr6gbxtvg2f3x6ve3ngs5jfq","ocid1.compartment.oc19..aaaaaaaag2d27gjmfsd36j45w7mi7piyfz6uvstpiuszd2gh2wto7kvmf5rq","2026-03-10T14:42:20.245000+00:00","{""ocilz-terraform-module"":""iam-compartments/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:42:20.133Z""},""o-p-om2-tagns-ens-001"":{""ens-authenticity"":""__FILL__"",""ens-availability"":""__FILL__"",""ens-confidentiality"":""__FILL__"",""ens-integrity"":""__FILL__"",""ens-traceability"":""__FILL__""},""o-p-om2-tagns-gov-001"":{""application-code"":""__FILL__"",""application-name"":""__FILL__"",""business-criticality"":""__FILL__"",""cost-center"":""__FILL__"",""department"":""__FILL__"",""environment"":""pro"",""iac"":""terraform"",""name"":""o-p-om2-cmp-cdin-projects-001"",""operational-owner"":""__FILL__"",""technical-owner"":""__FILL__""}}","ocid1.compartment.oc19..aaaaaaaavug4kpn4sdoskxdzgkfi2uvke26grr6gbxtvg2f3x6ve3ngs5jfq","True","Production Workload Environment, Common Projects Compartment"
"Compartment","o-d-om2-cmp-cdin-projects-001",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaas5tb4msd3rlj6luy7smtqmnybp3cm4sprqoya3v4fbqvycpe6ewq","ocid1.compartment.oc19..aaaaaaaa5ve7hl23gcpq4s3imssn3z4sext3mncvmk3i43h3rjts4uaw45hq","2026-03-10T14:42:20.147000+00:00","{""ocilz-terraform-module"":""iam-compartments/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:42:20.144Z""},""o-p-om2-tagns-ens-001"":{""ens-authenticity"":""__FILL__"",""ens-availability"":""__FILL__"",""ens-confidentiality"":""__FILL__"",""ens-integrity"":""__FILL__"",""ens-traceability"":""__FILL__""},""o-p-om2-tagns-gov-001"":{""application-code"":""__FILL__"",""application-name"":""__FILL__"",""business-criticality"":""__FILL__"",""cost-center"":""__FILL__"",""department"":""__FILL__"",""environment"":""dev"",""iac"":""terraform"",""name"":""o-d-om2-cmp-cdin-projects-001"",""operational-owner"":""__FILL__"",""technical-owner"":""__FILL__""}}","ocid1.compartment.oc19..aaaaaaaas5tb4msd3rlj6luy7smtqmnybp3cm4sprqoya3v4fbqvycpe6ewq","True","Non Production Workload Environment, Common Projects Compartment"
"Compartment","o-p-om2-cmp-exacsinfra-001",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaaexcetgujt75cw4hxoyttqpq5lqqfe4zcutegmvlk5vwikibcf3na","ocid1.compartment.oc19..aaaaaaaa2n4o2xmgt5b5auwg4ud6akdrdcnqqcrdmv6eiftlythr3ajhk7aa","2026-03-10T14:42:20.076000+00:00","{""ocilz-terraform-module"":""iam-compartments/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:42:20.073Z""},""o-p-om2-tagns-ens-001"":{""ens-authenticity"":""__FILL__"",""ens-availability"":""__FILL__"",""ens-confidentiality"":""__FILL__"",""ens-integrity"":""__FILL__"",""ens-traceability"":""__FILL__""},""o-p-om2-tagns-gov-001"":{""application-code"":""__FILL__"",""application-name"":""__FILL__"",""business-criticality"":""__FILL__"",""cost-center"":""__FILL__"",""department"":""__FILL__"",""environment"":""pro"",""iac"":""terraform"",""name"":""o-p-om2-cmp-exacsinfra-001"",""operational-owner"":""__FILL__"",""technical-owner"":""__FILL__""},""o-p-om2-tagns-name-001"":{""o-p-om2-tag-role-001"":""o-p-om2-tag-role-exainfra-001""}}","ocid1.compartment.oc19..aaaaaaaaexcetgujt75cw4hxoyttqpq5lqqfe4zcutegmvlk5vwikibcf3na","True","Shared exacs Platform, infra compartment"
"Compartment","o-d-om2-cmp-cdin-security-001",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaas5tb4msd3rlj6luy7smtqmnybp3cm4sprqoya3v4fbqvycpe6ewq","ocid1.compartment.oc19..aaaaaaaalzthcr6advj52mbrtu6h4viq523mko3gcyjc3nyppdu2ysxevqua","2026-03-10T14:42:18.079000+00:00","{""ocilz-terraform-module"":""iam-compartments/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:42:17.965Z""},""o-p-om2-tagns-ens-001"":{""ens-authenticity"":""__FILL__"",""ens-availability"":""__FILL__"",""ens-confidentiality"":""__FILL__"",""ens-integrity"":""__FILL__"",""ens-traceability"":""__FILL__""},""o-p-om2-tagns-gov-001"":{""application-code"":""__FILL__"",""application-name"":""__FILL__"",""business-criticality"":""__FILL__"",""cost-center"":""__FILL__"",""department"":""__FILL__"",""environment"":""dev"",""iac"":""terraform"",""name"":""o-d-om2-cmp-cdin-security-001"",""operational-owner"":""__FILL__"",""technical-owner"":""__FILL__""},""o-p-om2-tagns-name-001"":{""o-p-om2-tag-role-001"":""o-p-om2-tag-role-security-001""}}","ocid1.compartment.oc19..aaaaaaaas5tb4msd3rlj6luy7smtqmnybp3cm4sprqoya3v4fbqvycpe6ewq","True","Non Production Workload Environment, Common Security Compartment"
"Compartment","o-p-om2-cmp-exacsdb-001",,"ACTIVE","ocid1.compartment.oc19..aaaaaaaaexcetgujt75cw4hxoyttqpq5lqqfe4zcutegmvlk5vwikibcf3na","ocid1.compartment.oc19..aaaaaaaaepzjuq4cjhkstzgva5nrliugyqgakoxjby5nudywy2ptpjc5jxaq","2026-03-10T14:42:17.960000+00:00","{""ocilz-terraform-module"":""iam-compartments/0.3.4""}","{""Oracle-Tags"":{""CreatedBy"":""default/jorge.e.torlaschi@accenture.com"",""CreatedOn"":""2026-03-10T14:42:17.953Z""},""o-p-om2-tagns-ens-001"":{""ens-authenticity"":""__FILL__"",""ens-availability"":""__FILL__"",""ens-confidentiality"":""__FILL__"",""ens-integrity"":""__FILL__"",""ens-traceability"":""__FILL__""},""o-p-om2-tagns-gov-001"":{""application-code"":""__FILL__"",""application-name"":""__FILL__"",""business-criticality"":""__FILL__"",""cost-center"":""__FILL__"",""department"":""__FILL__"",""environment"":""pro"",""iac"":""terraform"",""name"":""o-p-om2-cmp-exacsdb-001"",""operational-owner"":""__FILL__"",""technical-owner"":""__FILL__""},""o-p-om2-tagns-name-001"":{""o-p-om2-tag-role-001"":""o-p-om2-tag-role-exadb-001""}}","ocid1.compartment.oc19..aaaaaaaaexcetgujt75cw4hxoyttqpq5lqqfe4zcutegmvlk5vwikibcf3na","True","Shared exacs Platform, db compartment"
